"BehaviorSpace results (NetLogo 6.1.1)"
"SIsaR_0.9.4.2TRIALS_wave2.nlogo"
"experiments 2 seeds"
"11/27/2020 01:13:26:794 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"141","213","1271160","1272662","28","15","15","6","0","96","33","122","9","0","102","33","132","9","0","-1","-1","-1","-1","-1","102","132","0","214","0","1","0","1"
"143","144","1284960","1286487","4","0","9","0","0","14","0","21","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","15","21","0","145","1","0","1","1"
"139","299","1466315","1467815","12","0","9","0","0","128","0","221","0","3","499","7","925","2","8","591","27","1007","7","10","595","1012","10","300","0","0","11","12"
"146","16","1532649","1534123","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","1","0","17","0","0","0","0"
"147","41","1536222","1537773","0","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","3","0","42","0","0","0","0"
"144","357","1296115","1297849","6","0","6","0","0","44","0","150","0","1","155","0","382","0","5","247","0","573","0","5","307","642","5","358","0","2","0","8"
"148","127","1542027","1543487","5","0","8","0","0","15","0","19","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","15","20","1","128","1","2","0","2"
"150","34","1553929","1555417","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","4","1","35","2","0","0","2"
"145","333","1298337","1299826","12","0","13","0","1","159","0","238","0","5","375","0","635","0","11","451","0","809","0","13","458","828","13","334","0","1","16","15"
"152","33","1360364","1361879","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","2","0","34","0","0","0","1"
"149","188","1348175","1349605","21","0","30","0","0","101","0","158","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","108","171","1","189","0","0","3","2"
"153","144","1365680","1367178","49","5","155","0","0","146","22","237","4","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","146","239","1","145","0","0","1","3"
"154","117","1371950","1373435","38","1","135","0","0","120","13","217","1","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","120","217","1","118","0","0","1","5"
"155","65","1387305","1388744","6","5","8","3","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","9","8","0","66","0","2","0","1"
"156","77","1389437","1390874","1","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","5","0","78","0","0","1","0"
