"BehaviorSpace results (NetLogo 6.2.0)"
"./model/SIsaR_0.9.5.4.1trials10kCtrl1NStartNoFrag60-25.nlogo"
"experiments 2 seeds"
"03/21/2021 16:05:27:209 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","seedD","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"66","66","376","54979859","45241196","87780360","7","0","4","0","0","35","0","62","0","0","536","32","808","13","9","848","62","1169","18","14","861","62","1181","18","16","-1","-1","-1","-1","-1","861","1181","16","377","5","12","10","22"
"70","70","411","3236577","71551615","28520953","27","20","34","4","0","149","66","143","10","2","419","66","666","10","5","685","66","926","10","8","693","66","929","10","8","-1","-1","-1","-1","-1","693","931","8","412","3","9","10","14"
"82","82","423","65298249","8300889","39221374","27","0","55","0","1","148","0","210","0","3","262","0","399","0","5","322","0","499","0","6","325","0","500","0","6","-1","-1","-1","-1","-1","327","501","6","424","5","1","5","8"
"115","115","238","31478734","58726965","72275003","3","0","0","0","0","3","0","0","0","0","4","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","1","0","239","0","0","1","1"
"68","68","352","40027512","94611420","78951309","21","1","55","0","0","371","56","460","13","5","761","74","1068","13","12","826","74","1182","13","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","828","1183","12","353","3","11","11","34"
"79","79","422","15383326","97888160","66688308","7","0","9","0","0","50","0","130","0","0","138","0","307","0","0","373","0","599","0","4","454","48","692","20","7","-1","-1","-1","-1","-1","458","696","7","423","1","2","11","10"
"89","89","463","39497663","77821173","1651748","8","0","5","0","0","11","0","10","0","1","13","0","11","0","1","173","0","337","0","3","200","0","377","0","3","209","0","399","0","3","209","399","3","464","0","0","1","2"
"114","114","281","43053671","72677105","70384258","0","0","4","0","0","1","0","5","0","0","1","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","12","0","282","0","0","0","0"
"102","102","388","32404069","17170661","77009512","0","0","2","0","0","0","0","2","0","0","0","0","5","0","0","76","0","188","0","1","87","0","198","0","1","-1","-1","-1","-1","-1","87","200","1","389","0","0","0","1"
"96","96","273","35172270","51271193","46916456","59","0","101","0","1","624","40","850","11","11","629","40","853","11","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","631","855","11","274","0","0","15","53"
"112","112","304","40586858","60841783","43599708","6","0","5","0","0","11","0","12","0","0","12","0","15","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","27","31","0","305","0","0","0","0"
"76","76","367","55719211","33534682","52422689","28","18","12","6","0","52","18","40","6","0","482","18","726","6","4","698","18","1127","6","7","702","18","1142","6","7","-1","-1","-1","-1","-1","702","1142","7","368","5","18","11","26"
"69","69","472","10043041","62941907","90862891","25","10","24","6","0","141","40","142","15","0","380","51","535","16","1","701","51","984","16","5","722","51","1003","16","6","729","51","1006","16","6","730","1006","6","473","2","5","11","21"
"90","90","403","52070465","67179992","76688508","10","0","17","0","0","54","0","102","0","2","295","0","527","0","5","505","0","822","0","6","516","0","834","0","6","-1","-1","-1","-1","-1","516","837","6","404","2","7","10","15"
"98","98","525","8972347","46395965","17823982","2","0","2","0","0","3","0","3","0","0","4","0","4","0","0","116","0","190","0","2","147","0","218","0","4","203","44","235","9","5","210","237","5","526","0","1","0","1"
"118","118","351","22028839","940326","76511942","1","0","4","0","0","6","0","13","0","0","6","0","16","0","0","15","0","22","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","16","24","0","352","0","0","0","1"
"71","71","568","98776243","51313506","60113047","5","0","6","0","0","18","0","19","0","2","19","0","21","0","2","62","0","133","0","2","237","0","424","0","5","522","0","832","0","7","534","859","8","569","4","5","4","22"
"87","87","323","11134529","11034741","9279947","24","11","37","1","0","141","29","166","6","2","776","64","1086","16","14","923","75","1271","19","15","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","923","1271","15","324","4","12","16","31"
"120","120","365","79308631","42596895","84297610","3","0","1","0","0","3","0","3","0","0","3","0","5","0","0","12","0","17","0","0","19","0","17","0","1","-1","-1","-1","-1","-1","19","17","1","366","3","2","0","4"
"73","73","614","33022682","85741840","71867614","3","0","2","0","0","4","0","2","0","0","6","0","5","0","0","129","0","281","0","1","194","0","451","0","2","296","0","618","0","2","347","698","3","615","1","7","6","6"
"104","104","363","84537269","82832751","14771468","38","0","85","0","0","265","43","490","14","5","328","45","563","15","6","337","45","581","15","7","339","45","584","15","7","-1","-1","-1","-1","-1","339","584","7","364","3","0","4","5"
"74","74","512","93186787","18615886","47927079","33","0","72","1","0","226","19","284","9","3","520","54","742","20","6","607","54","845","20","7","636","54","889","20","7","678","54","956","20","7","682","960","7","513","0","3","13","17"
"78","78","415","49620288","98331538","12520089","4","1","4","0","0","45","11","44","3","1","547","62","806","13","12","843","62","1247","13","16","849","62","1253","13","16","-1","-1","-1","-1","-1","852","1254","16","416","4","22","13","28"
