"BehaviorSpace results (NetLogo 6.1.2-beta2)"
"SIsaR_0.9.5.2TRIALS_wave2BchangeWorld.nlogo"
"experiments 2 seeds"
"12/09/2020 20:41:49:228 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","run#","[step]","seed0","seed","cp1cRed","cp1cRedNH","cp1cViolet","cp1cVioletNH","cp1cDead","cp2cRed","cp2cRedNH","cp2cViolet","cp2cVioletNH","cp2cDead","cp3cRed","cp3cRedNH","cp3cViolet","cp3cVioletNH","cp3cDead","cp4cRed","cp4cRedNH","cp4cViolet","cp4cVioletNH","cp4cDead","cp5cRed","cp5cRedNH","cp5cViolet","cp5cVioletNH","cp5cDead","cp6cRed","cp6cRedNH","cp6cViolet","cp6cVioletNH","cp6cDead","cumulativeRedCount","cumulativeVioletCount","cumulativeDeadCount","ticks","TinfSch","SinfSch","TinfNotSch","SinfNotSch"
"94","94","107","903236","48929869","2","0","3","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","18","11","0","108","0","0","0","0"
"87","87","345","11134529","11034741","24","11","37","1","0","141","29","166","6","2","453","47","707","11","6","597","77","833","17","10","0","0","0","0","0","0","0","0","0","0","599","834","10","346","2","4","7","13"
"97","97","126","97121983","29066408","0","0","7","0","0","45","0","39","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","45","39","1","127","0","0","1","1"
"98","98","54","8972347","46395965","2","0","2","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","3","0","55","0","0","0","0"
"91","91","354","14475080","92194080","30","1","65","0","0","366","68","353","17","5","465","68","570","17","8","513","68","626","17","8","0","0","0","0","0","0","0","0","0","0","516","627","8","355","0","3","5","22"
"100","100","84","21097325","51036985","0","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","4","10","0","85","0","0","2","1"
"99","99","100","79433548","623929","17","14","4","2","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","29","19","2","101","0","0","0","1"
"96","96","158","35172270","51271193","59","0","101","0","1","624","40","850","11","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","629","851","11","159","0","0","15","52"
"102","102","25","32404069","17170661","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","0","2","0","26","0","0","0","0"
"101","101","100","9400056","60131389","3","0","7","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","14","18","0","101","1","0","0","1"
"103","103","91","95045697","8644467","4","0","4","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","9","10","1","92","0","0","0","0"
"106","106","75","83380735","60851782","3","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","5","10","0","76","0","0","0","0"
"105","105","129","75841767","65387256","3","0","3","0","0","7","0","9","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","7","9","0","130","0","0","0","0"
"107","107","118","71432480","85281677","7","1","6","0","0","35","16","32","3","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","35","32","1","119","0","0","0","1"
"104","104","234","84537269","82832751","38","0","85","0","0","265","43","490","14","5","304","45","545","15","6","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","304","545","6","235","0","0","4","3"
"95","95","736","10140827","21909336","5","0","4","0","2","33","14","25","3","3","132","14","225","3","5","275","14","491","3","6","0","0","0","0","0","0","0","0","0","0","388","670","6","737","2","3","0","11"
"110","110","246","6742619","27360128","5","1","4","0","0","34","10","31","1","1","46","10","68","1","1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","46","68","1","247","0","1","0","1"
"109","109","346","78556274","87971901","3","0","3","0","0","45","0","59","0","1","195","4","455","3","2","323","31","572","9","5","0","0","0","0","0","0","0","0","0","0","324","575","5","347","1","1","3","5"
"112","112","71","40586858","60841783","6","0","5","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","11","12","0","72","0","0","0","0"
"108","108","278","2212455","64280751","55","3","141","1","0","610","51","779","21","10","674","51","884","21","12","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","675","885","12","279","0","0","10","28"
"113","113","39","58046614","22395202","2","0","1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","2","1","0","40","0","0","0","0"
"115","115","30","31478734","58726965","3","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","3","0","0","31","0","0","0","0"
"114","114","60","43053671","72677105","0","0","4","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","1","5","0","61","0","0","0","0"
"111","111","245","409365","32507229","24","3","44","1","0","160","32","226","4","3","253","32","442","4","5","-1","-1","-1","-1","-1","0","0","0","0","0","0","0","0","0","0","253","442","5","246","0","0","2","5"
